貼文內容,情緒分數
#武汉肺炎##香港警察# 地球上最“高等”的华人地区——香港老百姓也会抢购大米，还有脸嘲笑大陆。 香港特区·尖沙咀 ,0.9999860287935775
2020，我们心手相牵，共克时艰。艰难困苦，玉汝于成。@王家训国画 用手中的画笔讴歌战斗在抗击肺炎前线的战士，为时代画像、为时代立传、为时代明德。@微博国画 #武汉日记##武汉肺炎# ,0.9999745018155771
发布了头条文章：《中国驻英国使馆提醒在英中国公民妥善应对不良分子挑衅》 #英国留学# #英国生活# #武汉肺炎# 中国驻英国使馆提醒在英中国公民妥善应对不良分子挑衅 ,0.9999737075486822
"🤬🤬🤬居然有喪盡天良商人$1780/盒 , 50個口罩1780Yen 就差唔多!發神經嘅!😤😤帶咗係咪百毒不侵先🤬🤬🤬強烈呼籲大家唔好發埋呢啲港難財啦!! 大家畀返啲良心出嚟啦好唔好‼️ 呼籲大家一定要抵制呢啲無良商店千祈唔好幫襯助長佢哋嘅歪風❌#香港##武漢肺炎##口罩# ",0.9999652991844213
#武汉肺炎# 【如果用灾难片的方式打开武汉肺炎】我把这场灾难片取了个名字，叫《肺炎入侵》不只武汉加油，正在经历这场病毒入侵的所有人都要加油，不要害怕，前方才是希望，勇敢地走下去吧（我又把视频修改发一遍，因为原视频牵扯到了一些ZF人物，放在里面确实不太合适）熬夜爆肝，令人 ...全文,0.9999594858576925
#武汉肺炎# 做好隔离和个人防护，您就能为控制新型冠状病毒肺炎传播做贡献。如果不幸成为密接者，您不必有顾虑，按要求进行隔离医学观察，这是对您和家人朋友最好的照顾。另外，如实向调查人员报告行程，接触人员。#防控新型冠状病毒肺炎我们一起努力# ,0.9998263808414766
#武汉肺炎# “我希望这一路走来，所有人都能好好地活着，所有人都可以看到各自的结局。我们也许不能长久地活下去，请让我们活完我们应该享有的一生。”——《盗墓笔记》 ,0.9997948293988371
【#武汉肺炎#】近日来澳洲政府出的多条政策弄得华人是手忙脚乱，突如其来的撤侨、华人禁入境，还有对华人毫不留情的隔离检测，真的是令人头大。所幸还是有好消息的！ 中国飞悉尼6名乘客刚落地就被隔离，新州女大学生痊愈出院 ,0.9997800200185234
@安替 的原博没了“对在我国尚未上市，且具有知识产权壁垒的药物瑞得西韦，我们依据国际惯例，从保护国家利益的角度出发，在1月21日申报了中国发明专利”#武汉肺炎##武汉病毒研究所# ,0.9997300428370894
面对#武汉肺炎# ，实话实说，各个地方封路、封村，不少来自重点疫区的人突然变得“无家可归、有家难归”，所以才会逃、躲、避，漏出的大概率是有的，所以，大家都要做好防护措施。以下图片详细描述了“居家、出行、办公、就医”情况下的自我防护。#给即将返岗人员的防护建议# ,0.999504509570631
#全国确诊新型肺炎病例# 每日官方数据比例及各指标趋势与占比图-截止2020年2月4日24时 4号对比3号湖北地区的确诊有所上升趋势；全国疑似和留观有所下降，治愈率有所提高，解除观察和确诊有所提高#武汉肺炎##最新疫情地图##武汉加油# @健康中国 @武汉发布 @安徽发布 @人民日报 @央视新闻  ...全文,0.9993559814324149
#武汉肺炎# 我家小朋友咳嗽已经超一个月了，疫情爆发前就咳嗽，年前就看了三次医生，支气管炎，吃了药，挂了药水，眼看就要好了，最近突然又咳嗽加重了，可能是受凉了，没有发烧，精神也良好，就是咳嗽，有痰声，有时候咳嗽厉害了有痰他还会喘一下，很怕他变成肺炎，现在这个节骨眼上究竟应不应该去医 ...全文,0.9990656897919523
#武汉肺炎##武汉加油##抗击新型肺炎我们在行动# 我们正经历一场严峻的考验，武汉加油，中国🇨🇳加油💪 晴空待明月的微博视频 ,0.9986609135144255
肺炎患者求助超话#武汉肺炎##肺炎患者求助超话##新型冠状病毒# 【帮学姐转】华中科技大学新闻传播学院研二学生陈雨薇。父亲确诊新型冠状肺炎后于2月4日病重去世。母亲王琴疑似高度感染，CT检查结果为双肺感染性病变，但无法住院。【姓名】王琴【年龄】52岁【所在城市】武汉市【所在小区、社区 ...全文,0.9982535657790472
向奋斗在一线的所有医护人员致敬#武汉肺炎#你们很勇敢！你们也很有爱！真心希望你们都平平安安！🙏 中山 ,0.9981945823309669
刚刚接到医院来的电话，可以住院了。他们第一时间赶往医院，到了结果直接抢救，叔叔血氧太低了，现在情况不太稳定，拖的太久了…希望一切还来得及！感谢各位的帮助，我也接到了媒体朋友的电话，感谢感谢所有出点子私信点赞评论转发的朋友！是你们让我们觉得没被抛 ...全文,0.9921471337867357
#白话##武汉肺炎# 这几天说到美国是否提供帮助的问题，有朋友认为他们帮不上啥，这点我不赞成。美国医药和疫苗研制能力领先世界，军队卫勤体系确实先进。C-17这样的大型运输机，花费很短时间即可改装为带呼吸机的飞行野战医院，美军的航空医疗后送中队曾一天内完成六架飞机的改装，想帮有的是办法。   ...全文,0.9917477483836413
【武汉洪山体育馆方舱医院施工进入收尾阶段】#武汉肺炎##新型肺炎##新型冠状病毒感染的肺炎# 武汉洪山体育馆方舱医院施工进入收尾阶段 ,0.9896962882260709
（照片：@欲伴小夜曲 ）“从仙界吹来的风把湖面熨帖成镜此刻需要一位仙女把人间的不值得都变成欢声笑靥”#玉林爆料##南宁爆料##武汉肺炎##读书笔记##人像摄影##治愈不开心##愿你遇到的人都是温暖的##心情##成长##写真# ,0.9896282089563841
【嘉福久远】白文 西泠柳晓康愿早日恢复 平安吉祥 幸福长长久久#手写加油接力##武汉肺炎# @微博篆刻 @人民网 ,0.9866085484155391
已经快2天没有上“话题”啦！本来想多传递一些正能量的内容，结果被极个别喷子认为是蹭热度，“以小人之心度君子之腹”是也。#武汉肺炎##新型肺炎##新型冠状病毒感染的肺炎# ,0.9834240997337862
#武汉肺炎##武汉加油# 我在家 我骄傲 我为祖国省口罩[加油] 晴空待明月的微博视频 ,0.9831926173053818
我们家有老人还是不怕，每天都要出门，而且一天还不止一次，我们家住了6口人，还有一个几岁的小孩子，这个老人一点都不怕，每天早上出门买菜，下午出去遛弯……我老公是他儿子，他是一个大孝子，不敢去劝他爸爸，因为担心被他爸爸骂，害怕他爸爸生气…我只能祈祷他爸出门一定不要被感染…这样我们一家 ...全文,0.9800653265511995
在意大利 佛罗伦萨 小伙子的这一举动。感动。 牌子写道:我不是病毒 我是人类。不要有歧视。武汉加油。#武汉##武汉肺炎##武汉加油# 整形医生蔻子的微博视频 ,0.9507001486492828
中疾控流行病首席科学家曾光“相比之下，美国的疾控中心是政府部门，而中国的疾控中心是事业单位，是没有权力的。中国疾控在卫健系统中的地位是绝对弱的，疫情情况只有政府授权你去谈，你才能谈。疾控中心主要做的还是一个技术性的工作，对防疫工作只有建议权，没有决策权。”  #武汉# #武汉肺炎#,0.9476370303743036
在电视新闻里看到老同学也去支援武汉了，为他的奉献精神点赞👍，希望老同学能保护好自己，平安回来！#新型冠状病毒感染肺炎##武汉肺炎# ,0.9293865267416664
#武汉肺炎#加油武汉，去年七月我自己感染肺炎前前后后两个月多才彻底好转，西药吊水十天未彻底好，感觉自己打针都打到很虚弱了，然后隔一两个星期又去检查又让继续打针，改看中医，陆陆续续也又吃了半个月中药才好，看微博各种中医黑，真的让人很愤慨。普通肺炎已经如此难治，这个过程痛苦不堪，特别是 ...全文,0.9247259820130945
完全認同！#武漢肺炎##新型冠狀病毒##新型冠状病毒# 香港 SamHui許健生的微博视频 ,0.8981980101587786
#武汉##武汉肺炎# day13胖ju今天说最近我的眼泪不值钱，每看到一个相关新闻或者一段视频就要哭。为什么呢？因为你知道这是真真切切发生在身边的事情啊。每一个因疫情受影响的家庭，你细品，总会有跟你环境相似的地方，让你去带入，让你感同身受无法抽离。最重要的是，这无数个哭点，都确确实实发 ...全文,0.893303600048456
被感染隔离的宝宝隔着玻璃向医生张开小手要抱抱，医生转身掩面而泣。宝宝孤独失望地望着医生，不明白这一切是怎么了。#武汉肺炎# 重庆 杨玉红的微博的微博视频 ,0.8330985264849425
愿这次疫情与我们不是擦肩而过，而是永不相见！#武汉肺炎##武汉加油##流行歌曲# 环球经典语录的微博视频 ,0.8223378771806964
你们说，现在那些官员都在干啥呢，有这些在其位的官员行踪报告吗？好让大家知道他们究竟有没有在愧疚中弥补过错，去到前线为人民服务！@新浪新闻 @壹现场 @央视新闻 #武汉肺炎# #武汉加油# ,0.8077836469142795
#武汉肺炎# 特殊时期，特别特别感谢天天练。不负时光，天天练！ ,0.8060639278323875
这场人祸，这完全不是天灾，是彻彻底底的人祸，是每个环节的误判及失职推开的多米诺，是拿无辜百姓的命去粉饰的太平，是离世者亲人的眼泪和不知道从何说起的愤怒和委屈。#武汉肺炎# 乐清市 ,0.7764628102784438
【中西医结合阻击疫情：国家中医医疗队接管金银潭医院病区中的8名患者今日出院】反中医的人只能说明他无知。 #武汉肺炎##新型肺炎##新型冠状病毒感染的肺炎# 网页链接 ,0.7614678845939392
在家工作，家里办公第一天，工作前后凌乱度#武汉肺炎##今日边框打卡##在家办公的你##在家办公为国加油##凭什么不能在家办公# ,0.7318595408464447
#武汉肺炎# 什么时候是个头呢？真实的像是一场梦，可是每天早上醒来还是要面对现实 ,0.7136094624198424
好好在家里待着吧，不然疑似/感染之后就是这个待遇#疫情仍处于扩散阶段##武汉肺炎##最新疫情地图# 浮云观察的微博视频 ,0.7111823951108701
#新增疑似病例连续第二天下降##武汉肺炎##想见你# 疫情过后  火锅  烧烤 奶茶 冰淇淋 甜品大吃特吃胖个五斤✌️ 乐清市 詹詹爱吃糖的微博视频 ,0.6948111584620056
#武汉加油# 同时间赛跑，与病魔较量！我在武汉，为武汉祈祷🙏🏻 ，希望明天挺好的！#俊俊导食##武汉肺炎# 武汉 美食俊俊的微博视频 ,0.6917060958166557
#晋江毒王##武汉肺炎# 一个带走一座城恐怖分子都没这么猛 宁德·周宁县 ,0.6757518478599348
【封城日记】武汉不仅封城了，现在所有小区、村庄全部都封了。家里的青菜吃完了，本来说开车带爸爸去菜地里摘菜回来（菜地有点远），车也出不去了，还好能骑电动车～爸爸摘了好多好多青菜，农村真的是好，现在这些菜真的是超级超级的珍贵呀#武汉##武汉肺炎##不可辜负的美食# ,0.675667916466265
@武汉发布 @武汉发布 @侠客岛 @侠客岛 @央视新闻 @人民日报 @人民网 #肺炎床位# 肺炎患者求助超话#武汉肺炎#  请帮帮这个姑娘！！！！！ 已经失去了父亲 不能再失去母亲了 ！,0.6704436295674687
武汉封城以后活着的第14天，正月十二，家里蹲的第15天。我是薛定谔的人。这个病不是什么疑难杂症，不难治。可是武汉如此庞大的感染人群，极度匮乏的医疗资源，没有政府干预的无效居家隔离，每过一天都会有人被活活拖死。这些死亡不被确诊，不被认定为新型肺炎死亡。官方的数据武汉肺炎死亡率接近5% ...全文,0.6578284103882867
我們一定能看見光芒#武漢肺炎##医护后盾# 佛山 ,0.6182889634601402
#肺炎疫情树洞##武汉肺炎# 疫情以来，到底有多少损失?抗争在一线医护人员有他们的苦，小老百姓也有自己的苦和损失。祈祷瘟疫早点结束。欢迎大家来诉苦#诉苦树洞# 可能说出来会好受些 ,0.5988549489736444
医生是前线勇猛的战士，而他们同样是我们身后默默无闻的英雄！ #武汉肺炎##武汉加油# ,0.5791714850618547
#武汉肺炎# 今天是立春的日子，依旧不建议出门，用库存照片缅怀曾经的美好，期待春暖病毒散，徒留人间烟火气。 ,0.5523329381005936
请求大家看我下面的微博，关注一下新进父亲。。。#武汉肺炎# ,0.538060634856602
中江樱花岭超话#武汉肺炎# 打油诗•抗击新型肺炎清江茶客2020.2.4.猪尾鼠头非等闲，华夏荆楚瘟疫传。今日全民齐抗击，岂容病毒害人间。#共同战疫##诗词##生活# #武汉加油# #2020好起来# 成都 ,0.5085748986609576
#高校教师线上教学计入教学工作量# 应该的#武汉肺炎# 疫情期间，没其他事干扰，正可以通过网络专心致志辅导学生，只要付出了心血和脑力劳动，就应该得到肯定和回报 ,0.4842557817833376
成龙：拿出100万感谢研制出抗病毒特效药的个人或机构  #武汉肺炎##成龙# ,0.4789050372625613
#武汉肺炎##江城故事##世界另一面# 美国到底帮了中国没？武汉协和医院的20万口罩究竟是谁捐的？ ​ ,0.4428092486560399
#武汉肺炎# 吃出病毒的人，我恨不得撅了你家的祖坟…… ,0.4258734063600198
唉 第二批 武漢台人無法返鄉湖北台商自救會長徐正文痛哭😭希望台當局減少政治味多點人味..#武汉肺炎##拯救湾湾# ,0.41689014782990774
#世卫组织总干事讲话时干咳# 世卫组织对我国真好啊，太令人感动啦但愿有利于抗击#武汉肺炎# 疫情 ,0.4131511714570074
山东做的真的很到位了#武汉肺炎# ,0.3776051427156266
#武汉肺炎# fufufufu，么有防护镜，看到这个视频，发现保鲜膜也挺好。 Hi闲庭看花的微博视频 ,0.3767781273784433
#哈尔滨所有小区封闭管理##武汉肺炎# 大声疾呼社会公德和社会责任感回归！福建一男子隐瞒从武汉回乡，还参加各种聚会，导致4000多人隔离！如果大家只管自己快乐，自行其是，你的小区，社区都可能封闭管理，或者整个城市都可能封城！中江樱花岭超话#社会##武汉加油# 成都 ,0.35740671532695223
等#武汉肺炎# 结束若干年后把它拿给你的孩子看：以前你爸/妈出门还要通行证，每2天只能1个家庭成员出门。#武汉加油##疫情仍处于扩散阶段# ,0.30971223240584644
#爱情公寓5# 没想到爱情公寓5居然神预测！全是关于此次疫情的知识点！戴口罩，自我隔离！请对自己和爱的人负责！#武汉肺炎# ,0.2574481472300638
#逃亡11年杀人嫌犯因疫情防控压力自首#  哈哈😄想不到竟然还有这样的事这可算是#武汉肺炎# 疫情阴霾中，出人意料的一件开心事吧 ,0.25400684097833304
Excel功能错误示范#武汉肺炎##疫情仍处于扩散阶段# ,0.23173223427144807
曙光医院打了电话来关心老病人，询问近况，叮咛老人不要出门。近3分钟的通话，不是完成工作，不是逢场作戏，感受到的是真真切切的关心。我找不到满意度调查的短信，但是却并不影响我们对这所医院的评价。感谢！你们也要平安！@上海中医药大学附属曙光医院 #武汉肺炎# 愿这一场疫病能早 ...全文,0.21055199902225463
好想出门 不知道是呆在家里的第几天 ，连让我拿个快递的机会都没有然后想帮忙家人做一点只要能出门的事 ... 我妈就会说 你出门就别回来了#武汉肺炎# 福州 ,0.1950244277810007
#吃货战“疫”##武汉肺炎# 海明威说过：每个人都是一个碎片，那广袤大陆的一部分。 ,0.16683132028410286
整个城区都要开始关闭商店，限制出入了，小区也是，现实版全境封锁吗qnm的野味#武汉肺炎# ,0.14455807846980073
瘟疫盛行，人们都呆在家里，到处是空的。#手作##武汉加油##武汉肺炎# @微博国画 @微博垂直博主 ,0.1425114258289153
#武汉求助# #武汉肺炎# 这一切都跟梦一样！不真实！你以为事情在向好的方向发展时，世界就突然给你一棒子，让你明白你就是一条虫子，你就是一个数字，你就是一条微博！救救武汉的人吧！ ,0.13812528211551978
这种体外试验不妨把一定浓度的酒精当作对照组，和酒精头对头#武汉肺炎#,0.13592092560737656
“养老金还能拿多久，取决于你最近出门的次数。”～雅安市雨城区#武汉肺炎#疫情防控宣传标语（图片来自朋友圈） 广州 ,0.11021445493931936
今日立春，待到春暖花开再到武汉看樱花，我在四川我为武汉加油#武汉肺炎##武汉加油# 江油市 ,0.10955911329327961
托肺炎的福 在家里 good good study#武汉肺炎##高考倒计时# 乌鲁木齐 ,0.10881183634663316
#健康保卫战##疾病预防##武汉肺炎# 预防冠状病毒感染，正确地洗手很重要！什么时间要洗手？①准备食物，接触生肉等；②进食前，大便后，吃药之前；③接触钱币之后；④接触别人后，尤其是去医院或接触病人后；⑤做完扫除工作之后、处理垃圾；⑥户外运动、作业、购物后；⑦在室外玩耍沾染了脏东 ...全文,0.10089213643588346
求求国家不要空喊口号了，救救得肺炎的那些人，我看武汉有人愿意把空闲商铺免费给医院使用可以容纳十万个床位，我看着肺炎患者求助超话天天病死那么多人，国家还天天说一些不切实际的数据#武汉肺炎# ,0.08368822363049566
这远处的高架就是昨晚运送患者去火神山的路，希望他们都平安归来，也希望所有医护人员凯旋。#武汉肺炎# 没有新增确诊，也没有新的死亡，以后的消息都是治愈，这才是最大的胜利曙光。 武汉 ,0.08204642875638768
算了算回家隔离差不多有半个多月了吧！#武汉肺炎# 黄冈·浠水县 ,0.06788729725063958
#武汉肺炎# 看来快抑郁了，从外面回来后就感觉自己是不是个无症状的超级传播者。。。。 南充·蓬安县 ,0.05495499259963421
开工之时即是狂风暴雨之日，世界崩塌，而未来却艰难坎坷，迷雾重重，活力花今天到期，前几天申请延期被拒绝了，卡卡贷明天到期，今天致电一样叫按时还款，没有困难谁愿意逾期啊？谁愿意让自己征信受损？#网贷##武汉肺炎# ,0.05375199302311551
普通人怎么办完全买不到口罩😷#武汉肺炎# ,0.05274322857316083
#武汉肺炎# 唉，我不知道说点啥了，湖北随州我们在直接和当地医生对接，好心酸。这几天都在忙着给他们买物资，以及给各方捐款。#生活的模样# 大连·高新园区 ,0.051251689421261126
被告直接说原告是造谣，还被@重庆青年报 报社发稿采用，也算服了#武汉肺炎# //@柠檬奶提子://@篮球plus:武汉病毒研究所是中科院的下属单位，人家徐波实名举报武汉病毒研究所，中科院凭啥对人家的举报进行辟谣？被告能不经司法调查直接宣布原告说的是谣言？这还有天理么？,0.04545634329119064
#武汉肺炎#病毒快点消失，有点影响工作，吃底薪顾不住生活阿（2017年武汉随手拍） ,0.04433643902207762
#武汉肺炎#听话的孩子最可怜。他说可防可控你信了，他要封城你没走，他说在家隔离你就在家隔离。唉，不知道该说什么好。 ,0.04167742985849621
这标语。。。#武汉肺炎# ,0.03720764170845681
一个人打药，10个人照相，#武汉肺炎# ,0.03122454535667929
加油武汉这是你们目前的状态么#武汉肺炎# ,0.029388150044872163
今晚听的最多的一句话是要有责任感#武汉肺炎# 桐乡市 ,0.026364537729137605
襄阳 这么高的确诊数字你这么多天过去为啥提供治愈的都没 请大家关注襄阳 加油襄阳#肺炎##武汉肺炎# 上海·曲阳地区 ,0.020686264037567237
下雪了，雪里到底有没有病毒#武汉肺炎# ,0.019550891481170618
每天临睡前都在希望：明天的太阳可以早点升起，照亮武汉，然后回到从前那样平凡而又不经意的一天。#武汉加油##武汉肺炎##武汉日记# 武汉 ,0.01937312213940734
白岩松：为何武汉的病死率比其他城市高出近三倍？#疫情##武汉肺炎# 孤星怜月的微博视频 ,0.01934450003422905
#武汉肺炎# 武汉加油  ,0.019072094551431218
#武汉肺炎# 今天到处串门，明天肺炎上门。戴口罩，勤洗手 仙桃 荆楚沔阳的微博视频 ,0.018974099902087316
武汉吧友想象力十足，要把病毒吃掉#新型冠状病毒##武汉肺炎##今天立春# ,0.013564780763937745
#武汉肺炎# 还没有结束，大家千万不要出门。现在外面正是病毒扩散#疫情仍处于扩散阶段# 的高发期！出去散步很容易感染！千万千万不要出门。#最新疫情地图# ,0.012910187959382702
何辉被传武汉肺炎死了！感谢何辉的付出~真英雄！#何辉# #武汉肺炎# #武汉加油# ,0.012705003892614641
#上海通报7个月大女婴病例情况# #武汉肺炎#  儿童如何防感染？戴什么样的口罩？家长谨记这几点！大夫说官微的微博视频 ,0.011713527707721938
#武汉肺炎# 截止2月5日12时全国疫情播报（形势依然严重，各自做好防护🙏）#最新疫情地图# ,0.011590189843401655
【国内疫情最新数据】#武汉肺炎# 2月5日08:30 ,0.009649296511307526
#睡眠弱势群体##武汉肺炎#  这睡眠，有天才的感觉了 ,0.008912934530023064
在#武汉肺炎##疫情仍处于扩散阶段# 时，有人建议：#建议停发公务员半个月工资# 这样真的好吗？ ,0.008263456519838286
【国内疫情最新数据】#武汉肺炎# 2月4日19:30 ,0.007941569214332977
我尼玛，这些人开始偷渡了！#武汉肺炎# #新型冠状病毒# 网络资源学家的微博视频 ,0.007604136515548032
群友的妹妹，做为一名大三的成年人，不知道该说是因为被糖衣包裹着，还是因为真的太过胡闹。   如果一个医生直接告诉你，你再这样下去会死。我想再狂的人，也会怂吧。#武汉肺炎# ,0.007451100051000803
#武汉肺炎##全国##跟新浪看热点# 31省份新增确诊3887例 累计24324例 ,0.006654776306266319
同样是红，红10怎么就差韩红那么多呢！这辈子不会再相信红10，除非韩红当会长 #武汉肺炎##韩红# ,0.005696880361292345
#武汉肺炎# 武汉市硚口区解放大道要拆迁的扬子江大厦为啥不被征用去做方舱酒店 这么好的条件？？？？？@武汉晚报 @湖北经视 ,0.005473867016012379
#武汉肺炎# 通缉令出来了！太上老君急急如律令，魑魅魍魉火速缉拿归案！ ,0.004906748322691112
我们小区有12个人感染，这可怎么办。#新型肺炎疫情最新汇总##武汉肺炎# 武汉 ,0.0035916726321404413
#武汉肺炎# 搞不明白，在这种情况下为何还要暴力抗法？#暴力抗法# 网页链接 ,0.0035576861525700165
#涨姿势#  今天，在我们的听写作业【20200205-BBCNews20200205B】，你们将会听到WHO干事长对我国抗击#武汉肺炎# 战役的正面评价。说是有window of opportunity防止新型冠状病毒暴发成为全球的危机。那么 a window of opportunity 到底是什么意思呢？以下我们可以了解一下：What Is a Window Of Oppor ...全文,0.003380109754974714
一进门...清洁，沐浴，更衣...知道的是我刚刚下楼扔了个垃圾，不知道的还以为我在家里供奉了什么神仙[Emm]#武汉肺炎# 疫情快点结束吧，想念有快递有外卖的日子 ,0.003311408723335907
疫情过后，全中国废弃的口罩会不会堆成山？如何处理？#武汉肺炎# ,0.002450409013249777
每一天都是煎熬，昨天和今天有点钱，挣扎着还了两个能还的账单，留二十块吃饭吧，我不是老赖#武汉肺炎##网贷# ,0.002429675208673321
今天开始，真正感觉到了#武汉肺炎# 的威胁了。附近两个小区分别发现两个确诊病例。他们是进超市前红外测体温发现送医后最后得以确定的。没事千万别出门。 ,0.0021125480722813395
#武汉肺炎##志愿者##何辉##跟新浪看热点#  武汉一志愿者何辉感染新冠病毒去世网页链接 ,0.0020152712160736996
什么时候是个头啊#武汉肺炎# 武汉 ,0.0017511756673194157
【存粮告急！请求援助！！】#猛禽保护#受#武汉肺炎# 疫情的影响，我们中心 #买不到给猛禽吃的肉了# ，目前储备的食物不足以维持一周，现向大家（尤其是大理州地区）求援，具体要求见图5⃣️，恳请大家多多转发帮助！ ,0.0014890478486804248
【存粮告急！请求援助！！】#猛禽保护#受#武汉肺炎# 疫情的影响，我们中心 #买不到给猛禽吃的肉了# ，目前储备的食物不足以维持一周，现向大家（尤其是大理州地区）求援，具体要求见图5⃣️，恳请大家多多转发帮助！ ,0.0014890478486804248
我现在就是想不明白，一开始疫情刚发现，为什么告诉大众这是可防可控，不会人传人的，哎#武汉肺炎# ,0.0013499559118482773
我们是湖北周边随州地区，武汉回来的人特别多，今天才有人来测体温，然后说我们很早回来的人不登记，我们都在家自我隔壁，门都没出过，你想想湖北这一地zf部门什么管理#武汉肺炎# ,0.0012460973594667912
#武汉肺炎# 平常大城市上下班高峰期就很吓人，地铁站外老长老长的队，这返工了，每个人测温，排队几个小时可以进地铁？ ,0.0012349718960413814
刚才看群消息，小区求助的邻居已经住到隔离点了，越来越好了#武汉加油##武汉肺炎# 武汉 ,0.0012073735795390395
#武汉肺炎#承包商的食堂和月子中心都被征用服务于传染病人，但民营医院自负盈亏，有顾虑很正常，找律师调解没错，但像院长那样请一帮人强行闯入设施，扬言打人，在法制社会和土匪无异。不能因为紧急就剥夺正当权益和诉求，认为救人命就理所当然牺牲其他人利益？不进行有效沟通，这征用，能用得安心吗？,0.0010880914901038041
#武汉肺炎# 什么人都有，太生气了，太恶心了 ,0.0010235111413436915
恐怖的感染率，前几天日韩等国家撤侨过程中全员检测的感染率在1%~2%之间，相比来说武汉的确诊和疑似感染率偏低。#武汉肺炎#,0.000997988546738826
『新型冠状病毒感染的肺炎疫情动态--人民健康网--人民网』网页链接 #共同战疫# #武汉肺炎# #武汉加油#   via@人民网 ,0.0009496611410266809
现在再看这个感觉真是莫大的讽刺！ #武汉肺炎# #提前复工老板拘留5天# #湖北累计确诊16678例# ,0.0008318648545474483
#全国确诊新型肺炎病例##武汉肺炎##抗击新型肺炎第一线# 公交车的司机和售票师傅们，真的都是高危人群，希望有人能看到他们，集团可以提供相应的保护措施，比如一趟车一个专业的口罩，或者发放消毒药水打扫车厢，如果不能提供专业的口罩，这才是真的很危险 ,0.0006395575366142658
#武汉肺炎##武汉新型冠状病毒感染肺炎防控专题# 武汉“万家宴”社区百步亭确诊多例新冠肺炎 经济观察报EEO视频的微博视频 ,0.00040809598704327765
